SABAP2_number,Alphabetical_name,SA_name,Scientific_name,BLI_scientific_name,Assessment_status,ebirds_name,inat_name
138,"Eagle, Long-crested",Long-crested Eagle,Lophaetus occipitalis,Lophaetus occipitalis,Assessable,Lophaetus occipitalis,Lophaetus occipitalis
142,"Eagle, Martial",Martial Eagle,Polemaetus bellicosus,Polemaetus bellicosus,Assessable,Polemaetus bellicosus,Polemaetus bellicosus
147,"Eagle, Southern Banded Snake",Southern Banded Snake Eagle,Circaetus fasciolatus,Circaetus fasciolatus,Assessable,Circaetus fasciolatus,Circaetus fasciolatus
135,"Eagle, Steppe",Steppe Eagle,Aquila nipalensis,Aquila nipalensis,Assessable,Aquila nipalensis,Aquila nipalensis
134,"Eagle, Tawny",Tawny Eagle,Aquila rapax,Aquila rapax,Assessable,Aquila rapax,Aquila rapax
133,"Eagle, Verreaux's",Verreaux's Eagle,Aquila verreauxii,Aquila verreauxii,Assessable,Aquila verreauxii,Aquila verreauxii
137,"Eagle, Wahlberg’s",Wahlberg’s Eagle,Hieraaetus wahlbergi,Hieraaetus wahlbergi,Assessable,Hieraaetus wahlbergi,Hieraaetus wahlbergi
58,"Egret, Great",Great Egret,Ardea alba,Ardea alba,Assessable,Ardea alba,Ardea alba
59,"Egret, Little",Little Egret,Egretta garzetta,Egretta garzetta,Assessable,Egretta garzetta,Egretta garzetta
982,"Egret, Slaty",Slaty Egret,Egretta vinaceigula,Egretta vinaceigula,Vagrant,Egretta vinaceigula,Egretta vinaceigula
2192,"Egret, Snowy",Snowy Egret,Egretta thula,Egretta thula,Vagrant,Egretta thula,Egretta thula
61,"Egret, Western Cattle",Western Cattle Egret,Bubulcus ibis,Bubulcus ibis,Assessable,Bubulcus ibis,Bubulcus ibis
60,"Egret, Yellow-billed (Intermediate)",Yellow-billed (Intermediate) Egret,Ardea intermedia,Ardea intermedia,Assessable,,
601,"Eremomela, Burnt-necked",Burnt-necked Eremomela,Eremomela usticollis,Eremomela usticollis,Assessable,Eremomela usticollis,Eremomela usticollis
602,"Eremomela, Green-capped",Green-capped Eremomela,Eremomela scotops,Eremomela scotops,Assessable,Eremomela scotops,Eremomela scotops
626,"Eremomela, Karoo",Karoo Eremomela,Eremomela gregalis,Eremomela gregalis,Assessable,Eremomela gregalis,Eremomela gregalis
600,"Eremomela, Yellow-bellied",Yellow-bellied Eremomela,Eremomela icteropygialis,Eremomela icteropygialis,Assessable,Eremomela icteropygialis,Eremomela icteropygialis
119,"Falcon, Amur",Amur Falcon,Falco amurensis,Falco amurensis,Assessable,Falco amurensis,Falco amurensis
992,"Falcon, Eleonora’s",Eleonora's Falcon,Falco eleonorae,Falco eleonorae,Vagrant,Falco eleonorae,Falco eleonorae
114,"Falcon, Lanner",Lanner Falcon,Falco biarmicus,Falco biarmicus,Assessable,Falco biarmicus,Falco biarmicus
113,"Falcon, Peregrine",Peregrine Falcon,Falco peregrinus,Falco peregrinus,Assessable,Falco peregrinus,Falco peregrinus
126,"Falcon, Pygmy",Pygmy Falcon,Polihierax semitorquatus,Polihierax semitorquatus,Assessable,Polihierax semitorquatus,Polihierax semitorquatus
120,"Falcon, Red-footed",Red-footed Falcon,Falco vespertinus,Falco vespertinus,Assessable,Falco vespertinus,Falco vespertinus
117,"Falcon, Red-necked",Red-necked Falcon,Falco chicquera,Falco chicquera,Assessable,Falco chicquera,Falco chicquera
888,"Falcon, Sooty",Sooty Falcon,Falco concolor,Falco concolor,Assessable,Falco concolor,Falco concolor
887,"Falcon, Taita",Taita Falcon,Falco fasciinucha,Falco fasciinucha,Assessable,Falco fasciinucha,Falco fasciinucha
854,"Finch, Cuckoo",Cuckoo Finch,Anomalospiza imberbis,Anomalospiza imberbis,Assessable,Anomalospiza imberbis,Anomalospiza imberbis
821,"Finch, Cut-throat",Cut-throat Finch,Amadina fasciata,Amadina fasciata,Assessable,Amadina fasciata,Amadina fasciata
820,"Finch, Red-headed",Red-headed Finch,Amadina erythrocephala,Amadina erythrocephala,Assessable,Amadina erythrocephala,Amadina erythrocephala
789,"Finch (Weaver), Scaly-feathered",Scaly-feathered Finch (Weaver),Sporopipes squamifrons,Sporopipes squamifrons,Assessable,Sporopipes squamifrons,Sporopipes squamifrons
213,"Finfoot, African",African Finfoot,Podica senegalensis,Podica senegalensis,Assessable,Podica senegalensis,Podica senegalensis
833,"Firefinch, African",African Firefinch,Lagonosticta rubricata,Lagonosticta rubricata,Assessable,Lagonosticta rubricata,Lagonosticta rubricata
835,"Firefinch, Jameson’s",Jameson's Firefinch,Lagonosticta rhodopareia,Lagonosticta rhodopareia,Assessable,Lagonosticta rhodopareia,Lagonosticta rhodopareia
837,"Firefinch, Red-billed",Red-billed Firefinch,Lagonosticta senegala,Lagonosticta senegala,Assessable,Lagonosticta senegala,Lagonosticta senegala
